-2.6948,0.24552,-135.57,-159.59,21.047,7.6833,0,225.25,51.241,136.46,1283.5
4.6992,0.49103,-230.18,-34.814,-15.913,20.818,277.62,-50.147,67.114,-117.16,1128.8
8.4651,0.73651,-71.154,22.48,15.619,27.702,-277.62,119.52,54.592,168.57,1520.3
-1.9353,0.98197,256.96,-42.07,-5.0172,-3.4634,-370.16,-134.16,-26.055,-77.413,1296.2
-15.195,1.2274,-86.665,119.82,21.161,-40.706,185.08,-80.439,68.252,-20.872,1256.5
10.438,1.4728,-287.41,-188.66,13.543,-39.791,277.62,-225.13,-16.915,-124.42,1451.5
10.788,1.7181,224.08,14.835,12.533,-13.249,277.62,26.784,-3.9626,94.888,1429.7
-2.7059,1.9633,-32.177,46.361,6.4576,17.715,-92.541,-109.72,-10.959,-97.341,1170.6
11.699,2.2085,-169.86,89.642,-8.2189,-29.317,-370.16,166.17,11.246,33.033,1466.4
-3.8981,2.4536,-135.63,168.66,1.087,6.7027,-0,-240.81,68.463,-105.1,1281
-7.3465,2.6986,-25.864,47.302,-8.5406,38.948,185.08,19.643,53.612,125.67,1477.3
21.21,2.9434,157.03,-182.17,11.739,-16.197,-0,26.284,21.208,55.652,1143.3
1.677,3.1882,43.688,-116.4,9.3986,-18.488,185.08,92.109,33.956,-59.142,1175.4
-29.408,3.4328,57.773,22.334,6.8428,13.574,185.08,-193.2,-4.8478,14.94,949.59
15.153,3.6773,104.2,7.2031,18.466,-7.7776,-277.62,-211.23,72.675,27.437,1223.3
13.528,3.9217,-40.796,-155.42,36.225,29.773,-92.541,-101.7,3.2129,24.938,1591.3
14.266,4.1659,214.21,-194.78,5.9236,27.608,-277.62,-163.86,-14.735,-159.4,1227.2
-0.39045,4.4099,269.01,14.338,5.6167,1.7446,-185.08,-161.46,33.536,-45.367,1193.7
-1.3683,4.6538,-2.8228,-194.99,16.616,22.094,92.541,-235.58,-62.87,-71.524,1279.1
-10.983,4.8975,-56.328,-103.19,-19.757,6.6532,-185.08,160.5,11.037,-150.47,1160
